,time_boot_ms,roll,pitch,yaw,Roll,Pitch,Yaw,Lat,Lon,vel,alt,time,nord,est,quota,NorthX,EastY
0,350.32,-0.1122232750058174,-0.0587150938808918,2.743896245956421,-100,4400,-11000,482787379,374427064,2460,457.52,350.48,0.0,0.0,282.4611765,-4524.265848279372,-4901.398394618581
1,350.8,-0.0346898213028907,-0.0627812892198562,2.670894384384156,0,4400,-11200,482788152,374425436,2481,459.17,350.98,8.58957599931557,2.0659621556076337,284.1307843,-251.50949950969596,-131.41111291802105
2,351.28,0.1181500628590583,-0.0962000042200088,2.634704351425171,-100,4400,-11400,482788683,374424364,2473,460.38,351.48,14.490047999577769,3.426405259213273,285.3603922,1245.523744004465,1412.4710297496442
3,351.76,0.0929493457078933,-0.0952493995428085,2.575531005859375,0,4400,-11800,482789494,374422783,2453,462.42,351.98,23.50187999988009,5.432889681602512,287.42,245.8699524457302,138.24984034755164
4,352.242,0.1455664187669754,-0.1158415973186492,2.542088031768799,0,4400,-12600,482790036,374421739,2451,463.8,352.48,29.52458399999159,6.757910224330669,288.8196078,242.55882108741508,149.38874270659716
5,352.72,0.0700374990701675,-0.0868269503116607,2.472500801086426,0,4400,-13400,482790841,374420181,2441,466.07,352.98,38.469743999514776,8.735367704265043,291.1092157,234.1710905119704,145.0268818575781
6,353.2,0.1044324710965156,-0.0879634916782379,2.486280679702759,0,4400,-14200,482791371,374419137,2429,467.57,353.48,44.35910399964712,10.060493115492797,292.62882349999995,238.29213652365044,152.25022219464552
7,353.68,0.0743493884801864,-0.0964325070381164,2.4687979221343994,0,4400,-14400,482792154,374417575,2418,469.9,353.98,53.05979999947169,12.043180108566942,294.9784314,-215.57694577999754,-134.28920395619986
8,354.16,0.0749038457870483,-0.1138699501752853,2.4745447635650635,0,4400,-14600,482792673,374416541,2412,471.51,354.48,58.82692799975473,13.355715172390664,296.6080392,239.17301575844806,144.05847380941663
9,354.642,0.0720108896493911,-0.1007149517536163,2.4561004638671875,0,4400,-14800,482793452,374414992,2399,473.88,354.98,67.48317599984944,15.322057102534815,298.9976471,-215.52981136376454,-138.34537710389858
10,355.12,0.038625843822956,-0.0940159559249877,2.440878868103028,0,4400,-15000,482793971,374413964,2393,475.48,355.48,73.25030399934292,16.62708008615923,300.61725490000003,235.37493722534325,142.5921589968059
11,355.6,0.0290705226361751,-0.0746262967586517,2.444772720336914,0,4400,-15200,482794742,374412432,2368,477.97,355.98,81.81765599997789,18.57199470256172,303.12686270000006,-224.09687172208558,-151.72812988307885
12,356.08,0.0440969243645668,-0.0408522449433803,2.4340643882751465,0,4400,-15400,482795259,374411414,2378,479.67,356.48,87.56256000000121,19.864425854706614,304.8464706,236.56767744689583,155.64750140995204
13,356.56,0.043885838240385,-0.0758953243494033,2.4250409603118896,0,4400,-15600,482796040,374409900,2367,482.26,356.98,96.24103199956608,21.7866510840982,307.4560784,-221.1530822980535,-150.36794879925918
14,357.041,0.0755316391587257,-0.0799072086811065,2.422716856002808,0,4400,-15800,482796559,374408894,2357,484.01,357.48,102.00815999984913,23.063952888423387,309.2256863,240.50962346362718,159.1023408275441
15,357.52,0.0467940978705883,-0.1084455698728561,2.423884391784668,0,4400,-16000,482797338,374407385,2365,486.54,358.02,110.66440799994382,24.979981421369608,311.7752941,-219.79972015629167,-156.08582565689653
16,358.0,0.0385756380856037,-0.0694909691810607,2.442425489425659,0,4400,-16200,482797857,374406386,2351,488.27,358.47,116.4315359994373,26.24849809392299,313.524902,245.30362191894494,153.07905662316153
17,358.48,0.0567853674292564,-0.1125932484865188,2.4316442012786865,0,4400,-16400,482798638,374404887,2335,490.79,358.97,125.11000799979172,28.15198487252504,316.0645098,-222.68549955019998,-154.82999157950127
18,358.96,0.0763962641358375,-0.0553565360605716,2.434269428253174,0,4400,-16600,482799155,374403892,2339,492.42,359.47,130.85491199981504,29.41552199135057,317.7141176,248.72780613852538,167.8585415274153
19,359.441,0.0152198811993002,0.0165312550961971,2.381794214248657,0,4400,-16800,482799929,374402402,2337,494.88,359.97,139.45560000005003,31.30772689757189,320.1937255,-231.54282983369222,-152.31310863288596
20,359.92,0.0466715767979621,-0.0146273933351039,2.412330389022827,0,4400,-17000,482800442,374401412,2328,496.57,360.47,145.15605599955393,32.56501160649505,321.9033333,244.71820994328485,170.82782039173702
21,360.4,0.0061385370790958,-0.0506895370781421,2.426368236541748,0,4500,-17200,482801211,374399931,2320,499.12,360.97,153.7011839999292,34.4459334487754,324.47294120000004,247.93363380316595,153.47979301553502
22,360.88,0.007736288011074,-0.0380581207573413,2.390888214111328,0,4400,-17400,482801724,374398952,2308,500.87,361.47,159.4016399994331,35.68935095457525,326.242549,241.40931916712708,158.14354473044494
23,361.36,0.0384710468351841,-0.0649305135011673,2.3983254432678223,0,4400,-17600,482802488,374397495,2306,503.58,361.99,167.89120799994862,37.53994345140151,328.9721569,-232.16573494394876,-162.23945485257093
24,361.842,0.0689397752285003,-0.0487513281404972,2.405585765838623,0,4400,-17800,482803001,374396536,2275,505.53,362.47,173.59166399945252,38.75806547228267,330.9417647,253.05076436323375,175.34546921919164
25,362.321,0.0233591459691524,-0.0335851795971393,2.3965420722961426,0,4400,-18000,482803765,374395123,2243,508.41,362.97,182.08123199996805,40.55293750528651,333.84137250000003,-240.19656599333186,-164.69861934836277
26,362.8,0.0574988350272178,-0.0461773164570331,2.419278621673584,0,4500,-18200,482804275,374394190,2216,510.25,363.47,187.748351999872,41.73813916781514,335.7009804,-241.46115418656728,-154.95330524327855
